№;НАЗВАНИЕ;РУБРИКА;ПОДРУБРИКА;РЕГИОН;ГОРОД;АДРЕС;ТЕЛЕФОН;ТЕЛЕФОН;ТЕЛЕФОН;СОТОВЫЙ;EMAIL;САЙТ;X;Y
1260762149;Ансидата;Услуги;Аутсорсинг;Московская область;Москва;улица Бутлерова 17б;+7(495)7904493;;;;office@ansidata.ru;http://ansidata.ru;55.648823;37.53667;
1233980867;Вианте;Услуги;Аутсорсинг;Московская область;Москва;улица Воронцовские Пруды 5;+7(495)7904635;;;;sale@vi-ante.ru;http://viante.org;55.663903;37.534532;
1181850642;Кремлинтранс;Услуги;Аутсорсинг;Московская область;Москва;улица Вавилова 4;+7(495)6625946;;;;;;55.708754;37.58968;
1017993960;Финик-групп;Услуги;Аутсорсинг;Московская область;Москва;Озерная улица 42;+7(499)1363322;;;;eea007@mail.ru;;55.671443;37.445895;
1219628770;Дабл энтри;Услуги;Аутсорсинг;Московская область;Подольск;Литейная улица 42а;;;;+79032109922;zlatanew@yandex.ru;http://double-entry.ru;55.412201;37.54427;
1235483357;Т-клуб;Услуги;Аутсорсинг;Московская область;Москва;Новочеремушкинская улица 61, оф. 514;+7(495)7736566;;;;mail@t-club.ru;http://t-club.ru;55.668752;37.565937;
1262053431;ДКМ-Сервис;Услуги;Аутсорсинг;Московская область;Подольск;улица Маштакова 4а, корп.В;+7(4967)542306;;;;;http://dkm-service.ru;55.429154;37.523456;
1130399880;Компания Персонал сервис;Услуги;Аутсорсинг;Московская область;Москва;Чечерский проезд 30;+7(495)5404147;;;;personalservis@pochta.ru;http://персоналсервис.рф;55.534479;37.535538;
1076800332;Мэтэм;Услуги;Аутсорсинг;Московская область;Москва;Миклухо-Маклая улица 30, кв. 12;+7(495)3361605;;;;;;55.640843;37.528711;
1177857579;ИП Карушев П.М.;Услуги;Аутсорсинг;Московская область;Москва;улица Айвазовского 5, корп.1;;;;+79067640505;;http://buhga.ru;55.616564;37.541988;
1182988071;Ф1Трейдер;Услуги;Аутсорсинг;Московская область;Москва;улица Воронцовские Пруды 3;+7(499)5026494;;;;f1support@f1support.ru;http://f1support.ru;55.663603;37.536562;
1230896156;ЛидФорт;Услуги;Аутсорсинг;Московская область;Москва;Рябиновая улица 41, корп.1;+7(495)9891783;;;;org@lidfort.ru;http://lidfort.ru;55.701603;37.426697;
1152867482;Rating Standard;Услуги;Аутсорсинг;Московская область;Москва;Ленинский проспект 57;+7(495)7725518;;;;;http://rating-standard.ru;55.696575;37.561544;
1094693941;iJobb;Услуги;Аутсорсинг;Московская область;Москва;улица Дружбы 10;;;;+79037939595;;http://ijobb.ru;55.707907;37.513565;
1151782670;Юстиция+ Московское правовое бюро;Услуги;Аутсорсинг;Московская область;Москва;Ленинский проспект 42, корп.1;+7(495)5176500;;;;info@yurpom.com;http://yurpom.com;55.702551;37.566701;
1230631466;Аутсорсинговая компания Аккаунтант;Услуги;Аутсорсинг;Московская область;Подольск;улица Кирова 62а;+7(496)7542901;;;;;;55.424838;37.521839;
1246848110;Современные Инженерные Системы;Услуги;Аутсорсинг;Московская область;Москва;улица Обручева 36;+7(499)1283370;;;;7293309@gmail.com;;55.653761;37.542356;
1211333876;Контакт центр Колман;Услуги;Аутсорсинг;Московская область;Москва;Профсоюзная улица 100, оф. 139;+7(499)7043370;;;;info@kolman.su;http://kolman.su;55.64633;37.524418;
1213371607;Несс;Услуги;Аутсорсинг;Московская область;Москва;Нахимовский проспект 32, оф. 602;+7(495)5454858;;;;info@nes-sys.com;http://nes-sys.ru;55.675961;37.571255;
1203103220;Проектные сервисы;Услуги;Аутсорсинг;Московская область;Москва;проспект Вернадского 29, пом. 1, оф. 4;+7(495)2409080;;;;info@pmservices.ru;http://pmservices.ru;55.681767;37.516575;
1042156020;Система;Услуги;Аутсорсинг;Московская область;Москва;Азовская улица 6, корп.3, блок 7.3;+7(495)7838840;;;;info@sacf.ru;http://sacf.ru;55.659967;37.599094;
1158153049;Анлим Групп;Услуги;Аутсорсинг;Московская область;Москва;улица Орджоникидзе 12;+7(495)6989778;;;;mailbox@unlimgroup.ru;http://unlimgroup.ru;55.710398;37.590219;
1226959965;Атлас;Услуги;Аутсорсинг;Московская область;Москва;Ленинский проспект 38;+7(495)3644000;;;;info@atlaspg.com;http://atlaspg.com;55.704641;37.571543;
1249832298;Багам Сервис;Услуги;Аутсорсинг;Московская область;;Московская обл., Москва, Троицк, микрорайон В, ул. Полковника Милиции Курочкина, 19, оф. 202;+7(495)7789531;;;;bagamservis@mail.ru;http://byxservis.umi.ru;55.686482;37.252281;
1052112764;Аделфи групп;Услуги;Аутсорсинг;Московская область;Москва;Ленинский проспект 42;+7(495)9388036;;;;;;55.70217;37.565713;
1193346497;Юридический кабинет;Услуги;Юристы;Московская область;Апрелевка;Парковая улица 1;+7(499)3440057;;;+79258140587;;http://urkab.net;55.55516;37.067192;
1256191248;Юридическая фирма РусЮрЗащита;Услуги;Юристы;Московская область;Москва;улица Разина 24;+7(495)5147832;;;;;;55.591671;37.215693;
1195831281;Юридическая компания Эдельвейс;Услуги;Юристы;Московская область;Москва;улица Школьная 9;+7(495)7890463;;;;;;55.474072;37.302174;
1265305382;РОПАМО;Услуги;Юристы;Московская область;Краснознаменск;Октябрьская улица 10, корп.1;;;;+79169870789;info@ropamo.ru;http://ropamo.ru;55.593848;37.032095;
1177717450;Авангард;Услуги;Юристы;Московская область;Москва;Большая Внуковская улица 3;;;;+79258495126;;;55.614129;37.29055;
1166968680;РОПАМО;Услуги;Юристы;Московская область;Голицыно;Петровское шоссе 34;;;;+79169870789;info@ropamo.ru;http://ropamo.ru;55.610209;37.004239;
1062614926;Юридическая консультация;Услуги;Юристы;Московская область;Голицыно;Коммунистический проспект 82;;;;+79031668820;911-advokat@mail.ru;http://911-advokat.ru;55.609456;36.988428;
1232289613;Юридическое бюро Прыгунов и партнеры;Услуги;Юристы;Московская область;;Москва, Троицк г., Академическая пл.;+7(495)5087523;;;;yuristbyuro@mail.ru;http://yuristbyuro.ru;55.484417;37.305878;
1184958594;Центр Юридической Помощи;Услуги;Юристы;Московская область;Москва;Советская улица 3;+7(495)9974340;;;;moscowcentrow@gmail.com;;55.60666;37.187531;
1182788082;Центр развития;Услуги;Юристы;Московская область;Москва;Садовая улица 8;+7(495)5147899;;;;;;55.485566;37.3106;
1142595148;Адвокатский кабинет 830;Услуги;Юристы;Москва;;Москва, Троицк, микрорайон В, ул. Полковника Милиции Курочкина, 11;;;;+79055327382;;;55.487724;37.29885;
1286544616;Ариадна;Услуги;Юристы;Московская область;Москва;улица Маяковского 12;+7(495)5091379;;;;;;55.60937;37.205722;
1159843969;Юридический центр (Союз Защиты Прав Потребителей);Услуги;Юристы;Центральный федеральный округ;Троицк;Октябрьский проспект 140;+7(495)9974340;;;;;;55.477546;37.298581;
1082480346;Московская коллегия адвокатов Росар;Услуги;Адвокаты;Московская область;Москва;Новорогожская улица 11, стр. 1;+7(495)6715372;+7(495)6715362;;;;http://avto-advokat.ru;55.742083;37.681703;
1178814897;Адвокат;Услуги;Адвокаты;Московская область;Москва;Измайловское шоссе 71а;+7(499)3468551;;;;info@kizimov.ru;http://kizimov.ru;55.789608;37.752481;
1172640395;Адвокат Маслов Игорь Николаевич;Услуги;Адвокаты;Московская область;Москва;Ярославское шоссе 54, ТЦ Мосмарт;;;;+79037923716;infosoglasie@mail.ru;http://ka-soglasie.ru;55.865531;37.704889;
1004579851;Адвокат Дибровенко Олег Николаевич;Услуги;Адвокаты;Московская область;;Звездная улица;;;;+79261523893;;http://planeta-zakona.ru/advokat-balashiha;55.828087;37.95568;
1213891584;Межреспубликанская коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;шоссе Щёлковское 21, эт. каб. 2 7;+7(495)9225596;;;;info@mrkap.ru;http://mrkap.ru;55.80873;37.770493;
1109356515;Адвокат Дибровенко О.Н.;Услуги;Адвокаты;Московская область;Реутов;улица Ленина 23;;;;+79268815659;advokat-reutov@planeta-zakona.ru;http://planeta-zakona.ru/advokat-reutov;55.759091;37.855015;
1098745739;Адвокат Державина В.С.;Услуги;Адвокаты;Московская область;Москва;Сиреневый бульвар 16, корп.1;+7(495)7680886;+7(499)1640734;;;spam@mail.com;http://legalneed.ru;55.802249;37.786779;
1071862144;Адвокат Донцов Е.М.;Услуги;Адвокаты;Московская область;Москва;Электрозаводская улица 37/4;+7(495)5007808;;;;;http://a-dvokat.ru;55.794669;37.708311;
1185633688;Юридическая компания Альт Групп;Услуги;Адвокаты;Московская область;Москва;Измайловское шоссе 71а;+7(495)5188371;;;+79258553460;5188371@mail.ru;http://sydimsia.ru;55.789608;37.752481;
1015766814;Адвокатская палата Московской области;Услуги;Адвокаты;Московская область;Москва;Госпитальный Вал улица 8/1, стр. 2;+7(495)3603941;+7(495)3608564;+7(495)6268532;;apmo@bk.ru;http://apmo.ru;55.771788;37.708141;
1010739910;Правовой центр Авис;Услуги;Адвокаты;Московская область;Москва;Щербаковская улица 3;+7(495)7673024;+7(495)7672986;;;info@mosjurist.ru;http://registrator-firm.ru;55.782623;37.723367;
1008171250;Межреспубликанская Коллегия Адвокатов Адвокатская Консультация № 4;Услуги;Адвокаты;Московская область;Москва;Зеленый проспект 23/43;+7(495)3032452;+7(495)3012537;+7(495)3025478;;;http://mrkap.ru;55.751356;37.785566;
1039230106;Адвокат КИМ Э.В.;Услуги;Адвокаты;Московская область;Москва;Международная улица 13;+7(495)6788839;;;+79160910991;info@advokatkim.ru;http://advokatkim.ru;55.74562;37.684039;
1200957118;Адвокат Кизимов Денис Юрьевич;Услуги;Адвокаты;Московская область;Москва;Щербаковская улица 8;+7(499)3468551;;;;info@kizimov.ru;http://kizimov.ru;55.781904;37.723645;
1104311225;Адвокат МКА Филиппов и партнеры Попов Г.А.;Услуги;Адвокаты;Московская область;Москва;улица Золоторожский Вал 32а, стр. 4, оф. 105;+7(495)9406645;;;+79057551611;advpopov@ya.ru;http://trrim.ru;55.74985;37.682602;
1200953562;Юридическая компания Аркада Права;Услуги;Адвокаты;Московская область;Москва;улица Преображенский Вал 24, корп.1;+7(499)9927914;+7(495)9632388;;+79166889621;arkadaprava@mail.ru;http://1yuridicheskaya-konsultaciya.ru;55.791582;37.714159;
1121532214;Коллегия адвокатов Адвокатъ;Услуги;Адвокаты;Московская область;Москва;Бакунинская улица 17/28;+7(499)2652939;+7(499)2650907;;;;;55.774659;37.682134;
1096484743;Адвокатский кабинет Центр права;Услуги;Адвокаты;Московская область;Москва;Электрозаводская улица 20;+7(495)7715831;;;+79268204334;;http://advokatgoloveshkin.ru;55.788069;37.706479;
1069689210;Адвокат Хондкарян А.В.;Услуги;Адвокаты;Московская область;Москва;улица 9-я Парковая 59, корп.1;+7(495)9739299;;;+79299293001;advocat@khondkaryan.ru;http://khondkaryan.ru;55.80774;37.798126;
1073741341;Адвокат Бахталовский М. А.;Услуги;Адвокаты;Московская область;Москва;шоссе Щелковское 77, стр. 1, оф. 109;;;;+79859629515;;http://bakhtalovsky.ru;55.811943;37.804125;
1036762979;Адвокатская Контора № 18 Коллегии Адвокатов Московская Городская коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;Черкизовская Б. улица 1;+7(499)1620341;+7(499)1620273;+7(499)1620314;;;http://bestadviser.ru;55.796769;37.715713;
1048514974;Московская коллегия адвокатов Кузьмин и партнеры;Услуги;Адвокаты;Московская область;Москва;Барабанный переулок 4;+7(495)5072304;;;;mail@pravo-k.ru;http://pravo-k.ru;55.78317;37.708509;
1170599356;Коллегия адвокатов Москва-Адвокат;Услуги;Адвокаты;Московская область;Москва;Камчатская улица 4, корп.2;+7(495)6421588;;;+79856421588;;http://москва-адвокат24.рф;55.828056;37.811456;
1043266114;Коллегия адвокатов Презумпция;Услуги;Адвокаты;Московская область;Москва;быковского улица 12/11, корп.17;+7(495)7722778;;;;info@presum.ru;http://prezum.ru;55.800812;37.956731;
1000356790;Московская межтерриториальная коллегия адвокатов Балашихинский филиал;Услуги;Адвокаты;Московская область;Балашиха;Заречная улица 25;+7(495)2231729;;;;;http://advokat-sde.ru;55.828455;37.965104;
1250351170;Президиум межрегиональной коллегии адвокатов;Услуги;Адвокаты;Московская область;Москва;Зеленый проспект 3/10, стр. 15;+7(495)2343991;;;;inging@russia.ru;http://mkam.ru;55.748711;37.769819;
1269166564;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;7-я Парковая улица 15, корп.2;;;;+79257557876;;http://falaw.ru;55.797751;37.791495;
1049142843;Адвокат Дащенко Виктор;Услуги;Адвокаты;Московская область;Москва;улица Парковая 11-я 44, корп.4, кв. 35;;;;+79264719123;advokators@yandex.ru;http://svoiadvokat.ru;55.805012;37.807377;
1147031574;Адвокат Шутова Н.В. (офис ВАО);Услуги;Адвокаты;Московская область;Москва;Федеративный проспект 46, корп.1, оф. 25;+7(495)5074489;;;;info@uslugiadvokat.ru;http://uslugiadvokat.ru;55.753022;37.824553;
1142429841;Адвокат;Услуги;Адвокаты;Московская область;Москва;9-я Парковая улица 59, корп.1;+7(499)9900985;;;+79162763070;;http://lisovin.ru;55.807764;37.798116;
1161706523;Адвокат Мария Ярмуш;Услуги;Адвокаты;Московская область;Москва;Халтуринская улица 6а, оф. 4;+7(962)2776575;;;+79629341366;;http://lawandtax.ru;55.800559;37.730571;
1261570002;Адвокат по земельным делам Маковеев Сергей Иванович;Услуги;Адвокаты;Московская область;Москва;улица Золоторожский Вал 32, стр. 4;;;;+79060747614;;http://advokat-makoveev.ru;55.749851;37.682601;
1087425057;РусЮрЗащита;Услуги;Адвокаты;Московская область;Москва;Радио улица 24, БЦ Яуза Тауэр;+7(495)2588433;;;;info@rusjur.ru;http://rusjur.ru;55.762196;37.683509;
1111431875;Городская коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;Халтуринская улица 11;+7(495)7788967;+7(499)1684469;;;mailcitibar@gmail.com;http://citibar.ru;55.801642;37.725191;
1188499985;Московская коллегия адвокатов Бурделов и партнеры;Услуги;Адвокаты;Московская область;Москва;Бауманская улица 33/2, оф. 18;+7(495)2270153;;;;20gma@tsr.ru;http://burdelov.ru;55.77277;37.679403;
1022756607;Московская коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;Ткацкая улица 5;+7(499)5068473;;;;;http://advokaty-moskva.ru;55.786141;37.722675;
1084570858;Коллегия адвокатов Курганов и партнеры;Услуги;Адвокаты;Московская область;Москва;Ладожская улица 8, эт. 2;+7(495)2367771;+7(495)6264562;;;info@kurganov.ru;http://kurganov.ru;55.771277;37.683033;
1164757414;Адвокат Суслов С.Ю.;Услуги;Адвокаты;Московская область;Москва;9-я Парковая улица 59, корп.1;+7(495)7297597;;;+79060332277;suslov@arbitr-customs.ru;http://arbitr-customs.ru;55.807764;37.798116;
1162505885;Служба помощи призывникам/ Военный комиссариат на Пр. Ленина;Услуги;Адвокаты;Московская область;Балашиха;проспект Ленина 73;+7(495)2368845;;;;info@armyhelp.ru;http://armyhelp.ru;55.800556;37.970837;
1205592740;Московская коллегия адвокатов Бурделов и партнеры;Услуги;Адвокаты;Московская область;Москва;Зеленый проспект 23/43, эт. 2, оф. 3;+7(495)2270153;;;;20gma@tsr.ru;http://burdelov.ru;55.751356;37.785566;
1150281090;Адвокат Алексеев Михаил Вячеславович;Услуги;Адвокаты;Московская область;Москва;Краснобогатырская улица 6, стр. 2;+7(499)3910056;;;+79253910056;mail@mosadvok.ru;http://mosadvok.ru;55.812748;37.69399;
1113120937;Адвокат Дегтярев;Услуги;Адвокаты;Московская область;Москва;улица Золоторожский Вал 32;;;;+79639636616;;http://advokat-degtyarev.ru;55.74978;37.683383;
1201769198;Служба Помощи Призывникам/ Военный Учебно-Научный центр;Услуги;Адвокаты;Московская область;Москва;1-й Краснокурсантский проезд 3/5;+7(495)2368845;;;;info@armyhelp.ru;http://armyhelp.ru;55.761223;37.693924;
1178467585;Служба Помощи Призывникам/отдел военного комиссариата Московской области по городам Балашиха, Железнодорожный, Реутов и Балашихинскому району;Услуги;Адвокаты;Московская область;Балашиха;улица Евстафьева 23;+7(495)2368845;;;;info@armyhelp.ru;http://armyhelp.ru;55.788246;37.941875;
1219668028;Служба Помощи Призывникам/Военная комендатура Северо-Восточного и Восточного Административного Округа г. Москвы;Услуги;Адвокаты;Московская область;Москва;улица Стромынка 19, корп.2;+7(495)2368845;;;;info@armyhelp.ru;http://armyhelp.ru;55.795307;37.69738;
1108174053;Адвокат Кончевский;Услуги;Адвокаты;Московская область;;Московская обл., Балашиха, микрорайон Салтыковка, ул. Железнодорожная, 19;;;;+79262185244;;;55.757566;37.919388;
1158068451;Московская городская коллегия адвокатов Московский адвокат;Услуги;Адвокаты;Московская область;Москва;улица Парковая 7-я 30/24;;;;+79060723558;;;55.802371;37.794909;
1044469837;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Балашиха;улица Калинина 1;+7(495)5237327;+7(495)5230315;+7(495)5237223;;;;55.77677;37.928803;
1153212443;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Балашиха;улица Заречная 9;+7(496)5350464;;;;;;55.81916;37.964241;
1117075147;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Железнодорожный;улица Октябрьская 23;+7(495)5275379;;;;;;55.748838;38.000731;
1171206559;Служба Помощи Призывникам/ отдел Военного Комиссариата Московской области по г. Долгопрудный, г. Лобня;Услуги;Адвокаты;Московская область;Москва;1-я Парковая улица 12;+7(495)2368845;;;;info@armyhelp.ru;http://armyhelp.ru;55.790712;37.778497;
1197411717;Адвокаты.Юристы;Услуги;Адвокаты;Московская область;Москва;улица Стромынка 19, корп.2;;;;+79057780707;;http://legal-union.ru;55.795489;37.697927;
1020285236;Ассоциация Юристов и Адвокатов;Услуги;Адвокаты;Московская область;Москва;улица Электродная 2, стр. 13, оф. 702, 704;+7(499)3912181;+7(499)3912182;;+79164443266;;http://mos-yurist.ru;55.754654;37.748834;
1182786746;Служба Помощи Призывникам/отдел объединенного Военного Комиссариата по Измайловскому Району Восточного Административного Округа г. Москвы;Услуги;Адвокаты;Московская область;Москва;5-я Парковая улица 30а;+7(495)2368845;;;;info@armyhelp.ru;http://armyhelp.ru;55.79445;37.789623;
1152281518;Адвокат Групп;Услуги;Адвокаты;Московская область;Москва;улица Электрозаводская 52;;;;+79099906834;;;55.792994;37.708805;
1042128792;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Балашиха;улица Советская 19б, оф. 2;+7(495)5241590;;;;moka35@mail.ru;;55.803165;37.934094;
1050983996;Адвокатское бюро Система Защиты;Услуги;Адвокаты;Московская область;Москва;Княжекозловский переулок 25;+7(495)6323983;+7(495)6263082;;+79857649911;info@buroadvocatov.ru;http://buroadvocatov.ru;55.770122;37.711752;
1232350489;Адвокат Король С.Ю.;Услуги;Адвокаты;Московская область;Москва;2-я Бауманская улица 9/23;+7(499)4003484;;;+79254682453;info@advokatkorol.ru;http://advokatkorol.ru;55.763346;37.68323;
1243451168;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;переулок Денисовский 23, стр. 1;+7(495)9513781;+7(495)9595403;;+79037987722;;;55.767149;37.677786;
1068201630;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Реутов;улица Ленина 23;+7(495)5283319;;;;;;55.759091;37.855015;
1175401314;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;улица Парковая 16-я 21, корп.2;;;;+79039609713;;;55.800322;37.824311;
1163797596;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;улица Ткацкая 1;+7(495)6601440;;;;;;55.786516;37.718857;
1235533372;Городская коллегия адвокатов Лефортово;Услуги;Адвокаты;Московская область;Москва;Ткацкая улица 5;+7(499)5068473;;;;;http://advokaty-moskva.ru;55.786141;37.722675;
1214843442;Московская областная коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;улица Парковая 11-я 57, корп.2;+7(495)3671101;;;;;;55.809226;37.803676;
1183771883;Адвокат круглосуточно;Услуги;Адвокаты;Московская область;;Нижегородская улица;;;;+79853174567;;;55.736633;37.689526;
1006616592;Адвокат Романов В.Н.;Услуги;Адвокаты;Московская область;Москва;улица Золоторожский Вал 32/2, корп.4, оф. 105;+7(916)8237337;;;+79636562222;criminal_case@mail.ru;http://advokat-romanov.com;55.749851;37.682601;
1183970758;Группа адвокатов;Услуги;Адвокаты;Московская область;Москва;Кусковская улица 20а;+7(499)3400327;+7(499)3406552;;+79269181210;;;55.740157;37.784138;
1048293995;Коллегия адвокатов Мюллер и Аверин;Услуги;Адвокаты;Московская область;Москва;улица Преображенская площадь 6;+7(495)5179293;+7(495)5185504;;;info@advokat77.ru;http://advokat77.ru;55.794831;37.71115;
1048067414;Коллегия адвокатов Конфедерация;Услуги;Адвокаты;Московская область;Москва;Большая Почтовая улица 55/59, стр. 1, оф. 404;+7(495)5053165;;;+79852692702;andrew@classytees.ru;http://legitimus.ru;55.778315;37.696139;
1053093367;Адвокат Кузьмин М.А.;Услуги;Адвокаты;Московская область;Москва;Барабанный переулок 4, стр. 1;+7(495)5073610;;;;advokat-k@bk.ru;http://advokat-k.ru;55.783585;37.708455;
1200001139;Семейные адвокаты и юристы;Услуги;Адвокаты;Московская область;Москва;Щелковское шоссе 100;+7(499)7557876;;;;;http://afamlaw.ru;55.812529;37.832818;
1230494248;Семейные адвокаты и юристы;Услуги;Адвокаты;Московская область;Москва;шоссе Энтузиастов 12, корп.2;+7(499)7557876;;;;;http://afamlaw.ru;55.747424;37.70708;
1145829153;Юридическая консультация Адвокаты и юристы по гражданским делам г. Москва;Услуги;Адвокаты;Московская область;Москва;Авиамоторная улица 14;+7(499)3908147;;;;;http://1legalconsult.ru;55.752404;37.715776;
1223133188;Юридическая консультация Адвокаты и юристы по гражданским делам г. Москва;Услуги;Адвокаты;Московская область;Москва;Медовый переулок 5;+7(499)3908147;;;;;http://1legalconsult.ru;55.78392;37.709774;
1137490417;Семейные адвокаты и юристы;Услуги;Адвокаты;Московская область;Москва;Электрозаводская улица 27;+7(499)7557876;;;;;http://afamlaw.ru;55.79046;37.70638;
1115919816;Коллегия адвокатов Фемида-М;Услуги;Адвокаты;Московская область;Москва;проспект Зеленый 3/10, стр. 15;;;;+79161472310;femida-m@mail.ru;http://femida-m.ru;55.748711;37.769819;
1201233238;Адвокат Юридическая помощь;Услуги;Адвокаты;Московская область;Москва;Преображенская площадь 7;;;;+79032663316;;http://advokaty-moscow.ru;55.79556;37.708491;
1019541667;Адвокат Музюкин В.М.;Услуги;Адвокаты;Московская область;Щербинка;Пушкинская улица 3б;+7(495)7605089;;;;akpp1965@yandex.ru;http://akpp1965.ru;55.758093;37.925973;
1262305719;Семейные адвокаты и юристы;Услуги;Адвокаты;Московская область;Москва;Сокольническая площадь 9, корп.2;+7(499)7557876;;;;;http://afamlaw.ru;55.789866;37.680643;
1184216280;Адвокат Александр Барканов;Услуги;Адвокаты;Московская область;Москва;Спартаковская площадь 14;;;;+79032000103;;http://advokatbarkanov.ru;55.776604;37.679142;
1395414482;Юрист, Адвокат,Оценка;Услуги;Адвокаты;Московская область;Москва;Перовская улица 50, корп.1;+7(495)6525440;;;+79267611815;;http://5475427.ru;55.745407;37.785638;
1264082562;Адвокаты на Праводум.ру - адвокат Артамошкин Алексей Васильевич;Услуги;Адвокаты;Московская область;Москва;1-я Владимирская улица 31;;;;+79162129690;;;55.752257;37.779009;
1003625459;Коллегии адвокатов Правозащита;Услуги;Адвокаты;Московская область;Железнодорожный;Пролетарская улица 5;;;;+79165091802;info@mrka-region.ru;http://mrka-region.ru;55.748007;38.009651;
1203127209;Адвокат Юридическая помощь;Услуги;Адвокаты;Московская область;Москва;проспект Буденного 17;;;;+79032663316;;http://advokaty-moscow.ru;55.774279;37.724966;
1169038398;Адвокат Юридическая помощь;Услуги;Адвокаты;Московская область;Москва;улица Стромынка 11;+7(925)0151115;;;+79032663316;;http://advokaty-moscow.ru;55.794001;37.692231;
1173224326;Межрегиональная коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;Зеленый проспект 3/10, стр. 15;+7(495)5023112;;;;;;55.748711;37.769819;
1138479144;Содружество профессиональных адвокатов;Услуги;Адвокаты;Московская область;Москва;Измайловский бульвар 63/12, корп.1;+7(499)7488331;;;;20advokat-fedorov@list.ru;http://advokatprof.org;55.797837;37.812794;
1194391118;Адвокат Григорьев Е.В.;Услуги;Адвокаты;Московская область;Москва;улица Золоторожский Вал 32, оф. 105;+7(495)5434379;;;;advokat@advokat-msk.ru;http://advokat-msk.ru;55.74978;37.683383;
1236781932;Адвокаты 24h;Услуги;Адвокаты;Московская область;Москва;улица Изумрудная 6;+7(495)9617165;+7(495)5447918;+7(495)7929701;;;http://advokat24h.ru;55.868273;37.679394;
